feature,importance,gene_symbol,gene_name
NP_001121369,0.00040469347732141614,RPGRIP1L,protein fantom isoform b
NP_006724,0.0004034680896438658,CENPI,centromere protein I
NP_005612,0.00040010412340052426,S100A12,protein S100-A12
NP_002882,0.0003987626114394516,RASGRF1,ras-specific guanine nucleotide-releasing factor 1 isoform 1
NP_001025031,0.0003965274372603744,FBXO43,F-box only protein 43
NP_001265536,0.0003962694900110364,,filensin isoform 4
NP_001265102,0.00039114407263696194,,zinc finger protein 33A isoform e
NP_004935,0.00038989991298876703,DNASE1L3,deoxyribonuclease gamma isoform 1 precursor
NP_000918,0.00038976638461463153,ABCB1,multidrug resistance protein 1
XP_003960166,0.0003891374508384615,,PREDICTED: peptidyl-prolyl cis-trans isomerase A-like
NP_000610,0.0003889636427629739,IFNG,interferon gamma precursor
NP_001092690,0.0003853856469504535,ZNF862,zinc finger protein 862
NP_001265104,0.00038305544876493514,,zinc finger protein 33A isoform f
NP_443175,0.00038234598468989134,FAM46B,protein FAM46B
NP_005538,0.0003790234331972897,IVL,involucrin
NP_060647,0.000371574773453176,N4BP2,NEDD4-binding protein 2
NP_542390,0.00036912536597810686,C11ORF52,uncharacterized protein C11orf52
NP_068572,0.0003684159310068935,DNAJC12,dnaJ homolog subfamily C member 12 isoform a
NP_001861,0.00036423373967409134,CPA3,mast cell carboxypeptidase A precursor
NP_001010868,0.00036009022733196616,C6ORF163,uncharacterized protein C6orf163
NP_003077,0.0003473325341474265,SNAPC4,snRNA-activating protein complex subunit 4
NP_000988,0.00033541989978402853,RPL37,60S ribosomal protein L37
NP_852091,0.00033325323602184653,CCDC39,coiled-coil domain-containing protein 39
NP_001171925,0.00032592323259450495,,RING finger protein 32
NP_665741,0.00030142185278236866,OSBPL7,oxysterol-binding protein-related protein 7
